Date,State,District,Mandi,Commodity,Variety,Min Price,Max Price,Modal Price,Unit,Arrival Quantity,Grade,Market Fee (%),Trader Count
2/26/2024,Gujarat,Surat,Wholesale Yard,Maize,White,801,1104,950.5,Quintal,51.85,A,2.56,14
2/8/2024,Karnataka,Mysore,Sub Mandi,Maize,Yellow,964,1129,1043.5,Quintal,8.87,B,1.64,13
3/25/2024,Gujarat,Surat,Agro Market,Sugarcane,CO 0238,1111,1389,1225,Quintal,82.91,C,1.51,8
3/11/2024,Uttar Pradesh,Kanpur,Main Mandi,Onion,Red,978,1114,1073,Quintal,91.93,B,1.57,5
1/9/2024,Punjab,Ludhiana,Wholesale Yard,Tomato,Desi,1023,1304,1200.5,Quintal,53.23,A,2.93,14
1/10/2024,Maharashtra,Nagpur,Main Mandi,Onion,White,1191,1388,1311.5,Quintal,77.49,A,1.8,9
2/12/2024,Gujarat,Surat,Sub Mandi,Sugarcane,CO 86032,898,1265,1038.5,Quintal,89.64,C,1.01,14
1/6/2024,Punjab,Amritsar,Wholesale Yard,Maize,Yellow,1123,1361,1209,Quintal,71.66,B,1.48,5
1/2/2024,Karnataka,Hubli,Wholesale Yard,Rice,Sona Masoori,956,1254,1084,Quintal,33.3,B,2.66,7
1/11/2024,Gujarat,Vadodara,Wholesale Yard,Wheat,Durum,1018,1154,1089,Quintal,80.24,B,1.21,11
5/27/2024,Maharashtra,Pune,Main Mandi,Wheat,Sharbati,1012,1197,1110.5,Quintal,57.89,C,2.6,7
3/26/2024,Maharashtra,Nagpur,Wholesale Yard,Sugarcane,CO 86032,834,967,914.5,Quintal,36.72,B,1.62,11
6/15/2024,Maharashtra,Nagpur,Wholesale Yard,Sugarcane,CO 86032,1037,1272,1163.5,Quintal,63.18,C,2.01,3
6/9/2024,Uttar Pradesh,Kanpur,Agro Market,Sugarcane,CO 0238,807,964,919.5,Quintal,62.8,A,2.21,5
6/18/2024,Gujarat,Vadodara,Main Mandi,Sugarcane,CO 0238,1094,1353,1226.5,Quintal,56.6,C,1.38,13
1/7/2024,Gujarat,Ahmedabad,Wholesale Yard,Potato,Kufri Jyoti,1094,1303,1178.5,Quintal,95.95,B,1.3,11
3/14/2024,Gujarat,Surat,Wholesale Yard,Potato,Chipsona,889,1208,1071.5,Quintal,8.04,C,1.14,9
4/22/2024,Maharashtra,Nashik,Main Mandi,Maize,White,1049,1168,1078.5,Quintal,44.16,A,2.94,12
3/4/2024,Karnataka,Mysore,Sub Mandi,Onion,Red,926,1164,1047,Quintal,57.64,C,2.06,14
2/9/2024,Punjab,Amritsar,Wholesale Yard,Tomato,Desi,1060,1355,1171.5,Quintal,5.47,C,1.16,11
4/12/2024,Punjab,Ludhiana,Sub Mandi,Wheat,Lokwan,1147,1378,1243.5,Quintal,42.28,B,1.36,3
1/22/2024,Uttar Pradesh,Lucknow,Agro Market,Maize,Yellow,1147,1418,1263.5,Quintal,65.64,B,1.17,5
3/11/2024,Gujarat,Ahmedabad,Main Mandi,Potato,Kufri Jyoti,999,1268,1092.5,Quintal,65.9,B,1.91,11
2/16/2024,Gujarat,Surat,Wholesale Yard,Wheat,Lokwan,1170,1475,1328.5,Quintal,99.34,A,2.36,9
6/9/2024,Maharashtra,Pune,Main Mandi,Onion,Pink,1040,1263,1124.5,Quintal,44.47,B,1.81,13
6/13/2024,Karnataka,Bangalore,Wholesale Yard,Maize,Yellow,866,1228,1053,Quintal,99.29,A,2.31,7
4/28/2024,Punjab,Patiala,Sub Mandi,Tomato,Desi,1186,1310,1260,Quintal,61.87,B,2.78,6
3/28/2024,Maharashtra,Nagpur,Agro Market,Tomato,Hybrid,860,964,870,Quintal,79.05,A,2.98,13
3/11/2024,Punjab,Amritsar,Main Mandi,Rice,Basmati,1150,1497,1319.5,Quintal,5.64,A,1.79,3
3/12/2024,Punjab,Patiala,Sub Mandi,Rice,Kolam,1089,1210,1128.5,Quintal,86.25,B,2.43,6
3/2/2024,Karnataka,Mysore,Sub Mandi,Potato,Kufri Jyoti,848,1141,957.5,Quintal,12.05,A,2.9,9
5/30/2024,Karnataka,Bangalore,Wholesale Yard,Tomato,Hybrid,1033,1431,1195,Quintal,97.08,C,2.84,12
5/15/2024,Maharashtra,Pune,Sub Mandi,Maize,White,1197,1384,1262.5,Quintal,59.79,C,1.53,6
1/29/2024,Karnataka,Hubli,Sub Mandi,Onion,White,1132,1494,1285,Quintal,96.8,A,1.15,12
3/21/2024,Gujarat,Ahmedabad,Agro Market,Onion,White,846,1241,1034.5,Quintal,74.58,C,2.63,6
4/1/2024,Punjab,Patiala,Main Mandi,Wheat,Sharbati,1199,1381,1246,Quintal,53.33,A,1.78,9
2/28/2024,Punjab,Ludhiana,Sub Mandi,Wheat,Durum,1085,1250,1194.5,Quintal,24.88,C,2.06,11
1/15/2024,Punjab,Patiala,Wholesale Yard,Rice,Kolam,1038,1285,1131.5,Quintal,49.61,A,2.12,12
5/10/2024,Karnataka,Mysore,Wholesale Yard,Tomato,Hybrid,1175,1361,1262,Quintal,47.45,C,1.82,9
2/23/2024,Uttar Pradesh,Varanasi,Wholesale Yard,Rice,Sona Masoori,906,1175,1083.5,Quintal,20.96,C,1.85,9
2/28/2024,Karnataka,Hubli,Main Mandi,Onion,Red,846,1213,1055.5,Quintal,87.56,A,2.03,8
6/5/2024,Gujarat,Surat,Sub Mandi,Wheat,Durum,1092,1268,1229,Quintal,36.1,B,1.27,9
1/16/2024,Maharashtra,Pune,Main Mandi,Wheat,Sharbati,1150,1524,1302,Quintal,6.98,C,2.12,15
4/2/2024,Gujarat,Ahmedabad,Sub Mandi,Potato,Kufri Jyoti,852,1085,1017.5,Quintal,81.13,B,2.28,5
5/4/2024,Gujarat,Ahmedabad,Sub Mandi,Sugarcane,CO 0238,1180,1575,1375.5,Quintal,23.53,A,2.3,12
4/21/2024,Karnataka,Mysore,Sub Mandi,Maize,White,1129,1238,1157.5,Quintal,84.63,B,2.09,2
4/11/2024,Uttar Pradesh,Varanasi,Main Mandi,Tomato,Hybrid,1142,1419,1310.5,Quintal,66.82,A,1.18,14
5/10/2024,Maharashtra,Nashik,Main Mandi,Rice,Basmati,1037,1303,1215,Quintal,30.99,A,2.42,3
4/25/2024,Gujarat,Vadodara,Agro Market,Sugarcane,CO 86032,882,1200,1063,Quintal,91.49,C,1.64,8
6/27/2024,Karnataka,Bangalore,Main Mandi,Wheat,Durum,907,1238,1051.5,Quintal,34.32,C,2.55,12
6/11/2024,Maharashtra,Nashik,Main Mandi,Wheat,Sharbati,884,1280,1093,Quintal,42.9,C,2.62,10
3/9/2024,Punjab,Patiala,Agro Market,Potato,Kufri Jyoti,877,1252,1048.5,Quintal,78.39,A,2.58,3
2/1/2024,Punjab,Amritsar,Main Mandi,Rice,Basmati,1179,1543,1390,Quintal,69.87,A,1.52,11
1/6/2024,Karnataka,Bangalore,Sub Mandi,Onion,Pink,1154,1447,1265.5,Quintal,83.55,C,2.69,12
5/18/2024,Uttar Pradesh,Lucknow,Agro Market,Potato,Chipsona,859,1082,934.5,Quintal,34.54,A,1.38,13
5/7/2024,Karnataka,Hubli,Main Mandi,Potato,Chipsona,1172,1475,1311.5,Quintal,95.92,B,2.48,8
3/5/2024,Maharashtra,Nagpur,Wholesale Yard,Wheat,Lokwan,907,1164,1041.5,Quintal,66.97,A,1.28,13
1/19/2024,Maharashtra,Nashik,Sub Mandi,Potato,Kufri Jyoti,945,1150,1037.5,Quintal,75.2,B,2.05,7
1/9/2024,Karnataka,Mysore,Sub Mandi,Sugarcane,CO 0238,1200,1326,1251,Quintal,81.67,C,1.36,12
2/23/2024,Karnataka,Mysore,Agro Market,Tomato,Desi,907,1169,995,Quintal,77.05,B,1.06,8
5/6/2024,Uttar Pradesh,Kanpur,Main Mandi,Maize,Yellow,940,1200,1089,Quintal,69.67,C,1.21,7
3/1/2024,Uttar Pradesh,Lucknow,Main Mandi,Potato,Kufri Jyoti,845,973,922,Quintal,89.03,C,1.14,15
1/7/2024,Punjab,Amritsar,Main Mandi,Sugarcane,CO 0238,947,1287,1104,Quintal,99.13,C,1.2,10
5/4/2024,Punjab,Patiala,Main Mandi,Wheat,Lokwan,940,1199,1088.5,Quintal,23.93,C,2.13,3
4/22/2024,Uttar Pradesh,Kanpur,Wholesale Yard,Onion,Red,1176,1456,1282,Quintal,37.34,B,1.94,10
6/22/2024,Karnataka,Mysore,Agro Market,Potato,Kufri Jyoti,1123,1427,1255,Quintal,73.68,A,1.34,3
4/12/2024,Gujarat,Ahmedabad,Main Mandi,Rice,Basmati,938,1232,1035,Quintal,35.25,B,1.48,10
1/12/2024,Gujarat,Surat,Agro Market,Onion,White,981,1376,1154.5,Quintal,45,B,2.25,5
6/19/2024,Maharashtra,Nashik,Agro Market,Onion,Pink,926,1076,980,Quintal,55.32,C,1.99,12
1/11/2024,Uttar Pradesh,Lucknow,Wholesale Yard,Wheat,Lokwan,1196,1335,1248.5,Quintal,8.39,A,2.55,5
3/5/2024,Punjab,Amritsar,Wholesale Yard,Onion,Pink,930,1268,1097,Quintal,27.49,C,2.54,5
4/8/2024,Gujarat,Surat,Agro Market,Onion,White,1024,1416,1207,Quintal,39.58,C,1.04,13
2/28/2024,Uttar Pradesh,Lucknow,Wholesale Yard,Wheat,Durum,815,927,845,Quintal,75.49,A,1.59,8
5/25/2024,Maharashtra,Nashik,Wholesale Yard,Onion,Pink,935,1179,1019,Quintal,32.62,B,2.6,12
2/6/2024,Punjab,Amritsar,Wholesale Yard,Potato,Chipsona,1063,1354,1258.5,Quintal,45.88,B,2.94,7
6/7/2024,Punjab,Ludhiana,Main Mandi,Onion,White,1089,1467,1320,Quintal,64.53,C,2.24,8
6/7/2024,Uttar Pradesh,Kanpur,Sub Mandi,Rice,Kolam,858,1231,1063.5,Quintal,78.71,B,1.18,4
4/18/2024,Karnataka,Mysore,Agro Market,Tomato,Desi,893,1115,1024,Quintal,43.67,B,1.89,11
5/8/2024,Maharashtra,Nashik,Sub Mandi,Tomato,Hybrid,952,1157,1091.5,Quintal,14.57,A,1.81,13
6/24/2024,Karnataka,Hubli,Agro Market,Onion,Pink,1045,1270,1193.5,Quintal,67.82,C,1.91,10
6/7/2024,Karnataka,Bangalore,Sub Mandi,Maize,White,804,914,876,Quintal,92.76,A,2.61,4
4/8/2024,Maharashtra,Nagpur,Wholesale Yard,Wheat,Durum,807,1168,984.5,Quintal,34.91,C,2.41,11
3/15/2024,Karnataka,Mysore,Agro Market,Potato,Kufri Jyoti,820,1098,951,Quintal,82.85,C,2.88,4
3/24/2024,Maharashtra,Nagpur,Main Mandi,Tomato,Desi,915,1256,1099.5,Quintal,90.41,A,2.11,14
5/22/2024,Punjab,Patiala,Wholesale Yard,Wheat,Durum,912,1063,1035.5,Quintal,18.46,C,2.92,4
2/6/2024,Uttar Pradesh,Varanasi,Sub Mandi,Wheat,Lokwan,1105,1309,1157,Quintal,59.44,C,2.79,4
1/10/2024,Karnataka,Mysore,Sub Mandi,Tomato,Hybrid,1096,1298,1229,Quintal,81.95,C,1.54,8
6/28/2024,Maharashtra,Nashik,Wholesale Yard,Onion,White,1078,1443,1224.5,Quintal,47.28,A,1,13
1/25/2024,Karnataka,Hubli,Main Mandi,Maize,White,963,1309,1089,Quintal,58.63,A,1.42,12
4/17/2024,Punjab,Patiala,Main Mandi,Sugarcane,CO 0238,1119,1337,1200,Quintal,17.44,A,2.23,9
6/15/2024,Punjab,Amritsar,Main Mandi,Wheat,Lokwan,1130,1495,1299.5,Quintal,84.26,A,2.89,6
5/5/2024,Maharashtra,Nashik,Main Mandi,Sugarcane,CO 86032,816,1107,962.5,Quintal,7.91,A,2.11,3
5/2/2024,Punjab,Ludhiana,Main Mandi,Maize,Yellow,1035,1419,1183,Quintal,69.19,B,2.62,12
2/6/2024,Gujarat,Ahmedabad,Wholesale Yard,Tomato,Hybrid,1169,1486,1305.5,Quintal,29.95,C,1.44,9
3/18/2024,Uttar Pradesh,Lucknow,Sub Mandi,Wheat,Durum,906,1263,1052.5,Quintal,17.41,A,2.38,9
5/9/2024,Gujarat,Ahmedabad,Agro Market,Maize,White,980,1301,1093.5,Quintal,96.68,B,1.23,7
2/21/2024,Punjab,Ludhiana,Wholesale Yard,Potato,Kufri Jyoti,844,1238,1053,Quintal,82.44,A,1.69,9
3/1/2024,Punjab,Patiala,Sub Mandi,Maize,White,1148,1258,1241,Quintal,62.49,C,1.47,2
3/31/2024,Punjab,Amritsar,Wholesale Yard,Rice,Sona Masoori,909,1209,1028,Quintal,7.56,C,2.95,7
3/6/2024,Maharashtra,Nashik,Sub Mandi,Sugarcane,CO 86032,1018,1401,1187.5,Quintal,33.83,C,1,13
3/30/2024,Punjab,Patiala,Agro Market,Sugarcane,CO 86032,879,1222,1001.5,Quintal,58.57,A,2.2,3
1/21/2024,Karnataka,Bangalore,Wholesale Yard,Sugarcane,CO 0238,836,1089,922.5,Quintal,15.41,C,2.36,11
5/20/2024,Maharashtra,Nashik,Main Mandi,Sugarcane,CO 0238,907,1179,1051,Quintal,23.35,A,2.05,4
6/19/2024,Punjab,Patiala,Main Mandi,Wheat,Sharbati,899,1120,988.5,Quintal,68.92,B,1.24,7
3/2/2024,Gujarat,Surat,Main Mandi,Onion,Red,1004,1326,1160,Quintal,13.34,A,2.45,9
2/12/2024,Uttar Pradesh,Lucknow,Main Mandi,Potato,Kufri Jyoti,1097,1384,1251.5,Quintal,27.89,C,2.79,3
3/20/2024,Uttar Pradesh,Varanasi,Wholesale Yard,Rice,Basmati,1149,1544,1309.5,Quintal,70.33,A,1.87,9
5/17/2024,Karnataka,Hubli,Agro Market,Tomato,Hybrid,808,948,828,Quintal,80.09,B,2.17,9
1/19/2024,Uttar Pradesh,Lucknow,Main Mandi,Potato,Kufri Jyoti,941,1053,1039,Quintal,97.63,B,2.89,3
4/9/2024,Punjab,Amritsar,Sub Mandi,Tomato,Hybrid,1012,1133,1072.5,Quintal,73.78,C,2.56,13
3/24/2024,Karnataka,Bangalore,Wholesale Yard,Wheat,Sharbati,897,1163,1028,Quintal,40.91,A,2.68,11
5/24/2024,Punjab,Ludhiana,Main Mandi,Tomato,Hybrid,1153,1360,1206.5,Quintal,20.55,A,2.18,12
2/14/2024,Maharashtra,Pune,Wholesale Yard,Onion,Pink,1197,1428,1283.5,Quintal,81.48,C,1.36,12
5/2/2024,Gujarat,Ahmedabad,Main Mandi,Tomato,Desi,965,1236,1060.5,Quintal,30.43,A,1.5,2
6/18/2024,Karnataka,Hubli,Main Mandi,Rice,Basmati,1120,1383,1270.5,Quintal,61.54,C,2.63,9
1/20/2024,Punjab,Amritsar,Main Mandi,Onion,White,1176,1425,1312.5,Quintal,94.05,B,2.93,5
5/18/2024,Punjab,Patiala,Wholesale Yard,Maize,White,1016,1352,1201,Quintal,74.43,B,2.33,13
3/9/2024,Karnataka,Bangalore,Agro Market,Sugarcane,CO 86032,878,1040,949,Quintal,8.97,A,1.72,6
1/31/2024,Uttar Pradesh,Kanpur,Agro Market,Wheat,Durum,1148,1272,1183,Quintal,50.39,A,2.6,10
1/25/2024,Gujarat,Vadodara,Main Mandi,Rice,Basmati,854,1088,946,Quintal,38.13,C,2.32,2
4/9/2024,Punjab,Ludhiana,Wholesale Yard,Rice,Basmati,1127,1343,1224,Quintal,77.22,C,1.65,10
2/17/2024,Maharashtra,Nagpur,Sub Mandi,Wheat,Sharbati,860,1049,988.5,Quintal,6.99,A,1.99,8
2/13/2024,Maharashtra,Nagpur,Agro Market,Onion,White,941,1086,1011.5,Quintal,53.35,B,1.5,13
5/5/2024,Karnataka,Hubli,Sub Mandi,Wheat,Durum,1097,1481,1338,Quintal,58.74,A,1.2,14
1/28/2024,Gujarat,Ahmedabad,Wholesale Yard,Wheat,Lokwan,1068,1305,1204.5,Quintal,30.28,A,1.95,10
4/6/2024,Karnataka,Mysore,Main Mandi,Sugarcane,CO 86032,882,1267,1073.5,Quintal,11.06,A,1.58,5
4/9/2024,Gujarat,Ahmedabad,Agro Market,Tomato,Desi,1147,1309,1277,Quintal,93.94,C,2.42,6
5/11/2024,Gujarat,Vadodara,Agro Market,Sugarcane,CO 86032,823,1131,928,Quintal,33.52,C,2.08,11
1/27/2024,Karnataka,Hubli,Sub Mandi,Potato,Chipsona,1140,1496,1356,Quintal,75.77,A,2.99,15
3/14/2024,Karnataka,Hubli,Sub Mandi,Potato,Kufri Jyoti,1184,1431,1267.5,Quintal,70.68,C,1.33,8
3/17/2024,Punjab,Patiala,Main Mandi,Wheat,Durum,1106,1243,1146.5,Quintal,38.09,A,1.81,5
6/3/2024,Uttar Pradesh,Kanpur,Wholesale Yard,Rice,Basmati,808,1145,988.5,Quintal,44.21,A,2.12,7
3/13/2024,Karnataka,Hubli,Sub Mandi,Wheat,Durum,1157,1258,1169.5,Quintal,24,B,2.36,13
5/8/2024,Gujarat,Surat,Main Mandi,Potato,Kufri Jyoti,900,1245,1082.5,Quintal,32.9,C,2.35,6
3/7/2024,Karnataka,Hubli,Wholesale Yard,Sugarcane,CO 86032,1045,1333,1162,Quintal,47.61,C,1.82,8
2/5/2024,Karnataka,Hubli,Main Mandi,Rice,Kolam,1131,1459,1336,Quintal,11.95,A,2.19,11
1/19/2024,Maharashtra,Nagpur,Sub Mandi,Potato,Chipsona,985,1218,1057.5,Quintal,21.95,C,1.15,10
6/28/2024,Karnataka,Mysore,Agro Market,Potato,Kufri Jyoti,822,1168,981,Quintal,19.71,B,2.72,5
5/25/2024,Karnataka,Bangalore,Main Mandi,Tomato,Hybrid,809,1162,1033.5,Quintal,25.96,B,2.64,12
4/20/2024,Maharashtra,Pune,Wholesale Yard,Maize,Yellow,1112,1215,1213.5,Quintal,87.76,B,1.36,14
2/22/2024,Gujarat,Surat,Agro Market,Potato,Chipsona,908,1275,1091.5,Quintal,46.96,B,2.14,14
3/15/2024,Punjab,Amritsar,Wholesale Yard,Rice,Sona Masoori,902,1040,940,Quintal,52.71,B,2.62,11
1/11/2024,Punjab,Patiala,Main Mandi,Tomato,Hybrid,967,1332,1114.5,Quintal,96.73,A,2.25,6
2/1/2024,Maharashtra,Nashik,Main Mandi,Rice,Sona Masoori,1079,1353,1223,Quintal,87.2,B,1.89,3
3/31/2024,Gujarat,Vadodara,Sub Mandi,Sugarcane,CO 86032,1151,1253,1203,Quintal,90.79,C,1.5,7
5/18/2024,Karnataka,Hubli,Main Mandi,Potato,Kufri Jyoti,1097,1370,1200.5,Quintal,25.72,C,1.39,5
4/26/2024,Karnataka,Hubli,Sub Mandi,Sugarcane,CO 86032,1025,1138,1094.5,Quintal,13.83,A,2.91,13
1/4/2024,Maharashtra,Pune,Wholesale Yard,Sugarcane,CO 0238,819,1206,1030.5,Quintal,5.17,C,2.57,3
2/11/2024,Maharashtra,Nagpur,Main Mandi,Onion,White,927,1162,1009.5,Quintal,35.92,A,2.25,12
6/11/2024,Gujarat,Ahmedabad,Wholesale Yard,Tomato,Hybrid,1075,1297,1141,Quintal,32.5,C,2.78,9
3/27/2024,Punjab,Ludhiana,Agro Market,Onion,Pink,962,1189,1105.5,Quintal,29.01,C,1.95,8
5/26/2024,Punjab,Patiala,Sub Mandi,Wheat,Lokwan,882,1221,1023.5,Quintal,33.84,A,1.12,9
6/5/2024,Karnataka,Mysore,Sub Mandi,Tomato,Hybrid,829,1127,949,Quintal,67.88,A,1.65,3
2/25/2024,Gujarat,Ahmedabad,Agro Market,Wheat,Durum,1034,1137,1065.5,Quintal,38.62,C,2.99,6
2/14/2024,Karnataka,Bangalore,Main Mandi,Wheat,Durum,839,1123,987,Quintal,18.67,B,1.91,8
2/2/2024,Karnataka,Bangalore,Main Mandi,Tomato,Desi,858,1137,962.5,Quintal,91.43,C,2.78,9
4/12/2024,Punjab,Amritsar,Wholesale Yard,Rice,Sona Masoori,1185,1470,1304.5,Quintal,34.37,A,1.07,9
2/26/2024,Gujarat,Ahmedabad,Main Mandi,Maize,White,905,1069,1007,Quintal,9.65,A,2.83,10
3/3/2024,Gujarat,Ahmedabad,Sub Mandi,Maize,Yellow,1176,1529,1390.5,Quintal,93.74,A,2.52,5
6/29/2024,Karnataka,Hubli,Main Mandi,Onion,White,909,1168,1045.5,Quintal,23.17,B,2.39,2
4/18/2024,Maharashtra,Pune,Wholesale Yard,Sugarcane,CO 86032,1159,1498,1369.5,Quintal,31.19,A,2.69,11
5/11/2024,Gujarat,Vadodara,Agro Market,Maize,White,826,1151,1017.5,Quintal,60.47,C,2.25,11
6/13/2024,Uttar Pradesh,Lucknow,Sub Mandi,Potato,Kufri Jyoti,1154,1540,1327,Quintal,97.75,C,2.03,12
4/25/2024,Maharashtra,Nashik,Agro Market,Wheat,Sharbati,926,1144,1011,Quintal,36.22,C,2.56,4
3/3/2024,Gujarat,Vadodara,Sub Mandi,Wheat,Durum,1105,1378,1191.5,Quintal,46.29,B,2.13,3
1/14/2024,Karnataka,Bangalore,Wholesale Yard,Onion,White,1114,1367,1254.5,Quintal,53.86,C,1.51,14
3/15/2024,Punjab,Patiala,Sub Mandi,Potato,Chipsona,904,1136,1010,Quintal,25.35,C,1.22,6
6/19/2024,Uttar Pradesh,Kanpur,Agro Market,Maize,Yellow,929,1097,1029,Quintal,31.96,C,2.28,4
4/28/2024,Gujarat,Surat,Wholesale Yard,Maize,White,926,1219,1087.5,Quintal,74.52,A,1.07,13
1/8/2024,Punjab,Patiala,Sub Mandi,Sugarcane,CO 0238,885,1203,1076,Quintal,77.67,A,1.79,9
5/16/2024,Uttar Pradesh,Varanasi,Main Mandi,Onion,White,1154,1338,1280,Quintal,70.69,C,2.6,11
6/28/2024,Maharashtra,Nashik,Sub Mandi,Onion,White,989,1207,1081,Quintal,49.59,B,1.06,10
5/3/2024,Gujarat,Ahmedabad,Agro Market,Onion,Red,855,1104,1029.5,Quintal,42.18,C,2.42,7
6/20/2024,Gujarat,Surat,Sub Mandi,Sugarcane,CO 86032,1156,1513,1382.5,Quintal,86.22,C,2.74,12
6/14/2024,Punjab,Amritsar,Main Mandi,Maize,White,1134,1388,1243,Quintal,70.36,B,2.18,7
1/7/2024,Uttar Pradesh,Kanpur,Sub Mandi,Maize,Yellow,867,1121,1011,Quintal,32.67,B,2.43,10
3/19/2024,Maharashtra,Nagpur,Wholesale Yard,Potato,Kufri Jyoti,935,1324,1157.5,Quintal,11.64,A,1.11,2
3/21/2024,Punjab,Patiala,Sub Mandi,Potato,Kufri Jyoti,1129,1361,1293,Quintal,44.09,C,1.93,10
2/4/2024,Punjab,Patiala,Wholesale Yard,Sugarcane,CO 0238,849,1003,957,Quintal,68.45,C,1.83,8
6/3/2024,Karnataka,Bangalore,Sub Mandi,Rice,Kolam,998,1215,1079.5,Quintal,55.89,A,1.09,8
5/22/2024,Gujarat,Surat,Sub Mandi,Maize,Yellow,1029,1258,1135.5,Quintal,12.98,C,2.5,12
4/19/2024,Uttar Pradesh,Lucknow,Agro Market,Onion,Pink,1024,1413,1227.5,Quintal,55.97,B,1.67,9
3/5/2024,Gujarat,Ahmedabad,Sub Mandi,Onion,White,1163,1398,1330.5,Quintal,90.42,B,2.36,5
6/10/2024,Uttar Pradesh,Varanasi,Sub Mandi,Rice,Basmati,1004,1316,1163,Quintal,63.92,A,1.45,4
4/30/2024,Uttar Pradesh,Lucknow,Agro Market,Potato,Chipsona,823,932,883.5,Quintal,55.83,C,1.3,12
3/19/2024,Karnataka,Bangalore,Agro Market,Sugarcane,CO 0238,1012,1391,1215.5,Quintal,18.43,B,1.91,4
3/26/2024,Karnataka,Hubli,Sub Mandi,Tomato,Hybrid,1124,1257,1216.5,Quintal,57.41,B,1.58,10
6/14/2024,Punjab,Ludhiana,Sub Mandi,Sugarcane,CO 86032,805,1005,887,Quintal,95.11,B,2.24,3
5/25/2024,Maharashtra,Nashik,Sub Mandi,Wheat,Durum,992,1266,1126,Quintal,34.23,C,2.49,9
2/1/2024,Gujarat,Vadodara,Sub Mandi,Maize,White,868,1064,1009,Quintal,48.49,C,2.19,7
6/25/2024,Maharashtra,Nashik,Agro Market,Onion,White,1101,1341,1177,Quintal,27.32,C,2.25,8
5/20/2024,Maharashtra,Nashik,Wholesale Yard,Onion,White,1110,1322,1195,Quintal,71.41,C,2.17,7
1/26/2024,Karnataka,Hubli,Wholesale Yard,Maize,Yellow,1030,1165,1131.5,Quintal,47.41,C,2.25,7
4/14/2024,Punjab,Amritsar,Sub Mandi,Maize,Yellow,1104,1470,1280,Quintal,34.21,C,2.61,14
6/15/2024,Maharashtra,Nagpur,Main Mandi,Onion,White,950,1349,1111.5,Quintal,55.61,C,2.31,15
2/9/2024,Maharashtra,Pune,Main Mandi,Tomato,Desi,1095,1219,1178,Quintal,82.48,C,1,7
5/20/2024,Punjab,Ludhiana,Wholesale Yard,Wheat,Sharbati,940,1229,1034.5,Quintal,45.93,B,2.23,9
5/6/2024,Gujarat,Surat,Agro Market,Maize,Yellow,918,1188,1014,Quintal,76.98,A,1.04,15
3/18/2024,Punjab,Amritsar,Agro Market,Maize,Yellow,1082,1289,1153.5,Quintal,58.4,A,1.4,2
4/22/2024,Uttar Pradesh,Lucknow,Main Mandi,Rice,Basmati,977,1272,1099.5,Quintal,86.24,B,1.79,14
6/26/2024,Gujarat,Surat,Main Mandi,Sugarcane,CO 86032,1155,1458,1326.5,Quintal,40.06,A,1.81,2
5/3/2024,Gujarat,Vadodara,Agro Market,Sugarcane,CO 0238,997,1270,1169.5,Quintal,50.9,C,1.94,3
5/20/2024,Gujarat,Vadodara,Wholesale Yard,Tomato,Hybrid,820,1218,1037,Quintal,96,A,2.61,7
3/31/2024,Maharashtra,Nashik,Sub Mandi,Sugarcane,CO 86032,949,1083,1049,Quintal,44.03,A,1.78,15
5/24/2024,Punjab,Ludhiana,Agro Market,Onion,Red,985,1128,1074.5,Quintal,70.58,C,2.23,3
3/17/2024,Punjab,Amritsar,Wholesale Yard,Tomato,Desi,888,1278,1063,Quintal,48.63,B,2.8,2
